1.02,	0.565227,	1.07814,	-0.723178,	0.787395,	
1.03,	0.55798,	1.08598,	-0.726278,	0.781423,	
1.04,	0.550702,	1.09377,	-0.729311,	0.775461,	
1.05,	0.543394,	1.10149,	-0.732277,	0.769511,	
1.06,	0.536056,	1.10916,	-0.735177,	0.763572,	
1.07,	0.52869,	1.11676,	-0.738012,	0.757645,	
1.08,	0.521296,	1.12431,	-0.740783,	0.751731,	
1.09,	0.513874,	1.1318,	-0.743491,	0.745831,	
1.1,	0.506426,	1.13923,	-0.746136,	0.739945,	
1.11,	0.498952,	1.1466,	-0.748719,	0.734073,	
1.12,	0.491452,	1.15391,	-0.75124,	0.728216,	
1.13,	0.483927,	1.16116,	-0.753702,	0.722375,	
1.14,	0.476377,	1.16835,	-0.756103,	0.716551,	
1.15,	0.468805,	1.17549,	-0.758446,	0.710742,	
1.16,	0.461209,	1.18257,	-0.76073,	0.704951,	
1.17,	0.45359,	1.18959,	-0.762957,	0.699177,	
1.18,	0.445949,	1.19655,	-0.765127,	0.693422,	
1.19,	0.438287,	1.20346,	-0.767241,	0.687684,	
1.2,	0.430604,	1.2103,	-0.7693,	0.681966,	
1.21,	0.422901,	1.2171,	-0.771304,	0.676266,	
1.22,	0.415178,	1.22383,	-0.773255,	0.670586,	
1.23,	0.407436,	1.23051,	-0.775152,	0.664926,	
1.24,	0.399675,	1.23713,	-0.776997,	0.659286,	
1.25,	0.391896,	1.24369,	-0.778791,	0.653666,	
1.26,	0.3841,	1.2502,	-0.780533,	0.648067,	
1.27,	0.376286,	1.25665,	-0.782225,	0.642489,	
1.28,	0.368455,	1.26305,	-0.783868,	0.636933,	
1.29,	0.360608,	1.26939,	-0.785461,	0.631398,	
1.3,	0.352746,	1.27568,	-0.787007,	0.625884,	
1.31,	0.344868,	1.28191,	-0.788505,	0.620393,	
1.32,	0.336976,	1.28808,	-0.789956,	0.614925,	
1.33,	0.329069,	1.29421,	-0.791361,	0.609478,	
1.34,	0.321148,	1.30027,	-0.79272,	0.604055,	
1.35,	0.313215,	1.30629,	-0.794035,	0.598654,	
1.36,	0.305268,	1.31225,	-0.795305,	0.593277,	
1.37,	0.297309,	1.31815,	-0.796532,	0.587923,	
1.38,	0.289337,	1.324,	-0.797716,	0.582592,	
1.39,	0.281354,	1.3298,	-0.798858,	0.577284,	
1.4,	0.27336,	1.33555,	-0.799957,	0.572001,	
1.41,	0.265355,	1.34124,	-0.801016,	0.566741,	
1.42,	0.25734,	1.34688,	-0.802034,	0.561505,	
1.43,	0.249314,	1.35247,	-0.803013,	0.556293,	
1.44,	0.24128,	1.35801,	-0.803952,	0.551105,	
1.45,	0.233235,	1.36349,	-0.804853,	0.545942,	
1.46,	0.225183,	1.36893,	-0.805715,	0.540803,	
1.47,	0.217121,	1.37431,	-0.80654,	0.535688,	
1.48,	0.209052,	1.37964,	-0.807328,	0.530598,	
1.49,	0.200975,	1.38492,	-0.808079,	0.525532,	
1.5,	0.19289,	1.39015,	-0.808795,	0.520491,	
1.51,	0.184799,	1.39533,	-0.809475,	0.515475,	
1.52,	0.176701,	1.40046,	-0.810121,	0.510483,	
1.53,	0.168596,	1.40554,	-0.810732,	0.505516,	
1.54,	0.160486,	1.41057,	-0.81131,	0.500574,	
1.55,	0.15237,	1.41555,	-0.811855,	0.495656,	
1.56,	0.144249,	1.42048,	-0.812366,	0.490763,	
1.57,	0.136123,	1.42537,	-0.812846,	0.485895,	
1.58,	0.127992,	1.4302,	-0.813294,	0.481052,	
1.59,	0.119857,	1.43499,	-0.813711,	0.476234,	
1.6,	0.111718,	1.43972,	-0.814098,	0.47144,	
1.61,	0.103575,	1.44442,	-0.814454,	0.466671,	
1.62,	0.0954291,	1.44906,	-0.81478,	0.461927,	
1.63,	0.0872798,	1.45365,	-0.815077,	0.457208,	
1.64,	0.0791277,	1.4582,	-0.815346,	0.452513,	
1.65,	0.070973,	1.4627,	-0.815586,	0.447843,	
1.66,	0.062816,	1.46716,	-0.815798,	0.443198,	
1.67,	0.0546571,	1.47157,	-0.815983,	0.438577,	
1.68,	0.0464964,	1.47593,	-0.816141,	0.433981,	
1.69,	0.0383343,	1.48025,	-0.816272,	0.429409,	
1.7,	0.030171,	1.48452,	-0.816378,	0.424862,	
1.71,	0.0220068,	1.48874,	-0.816457,	0.420339,	
1.72,	0.013842,	1.49292,	-0.816511,	0.415841,	
1.73,	0.0056767,	1.49706,	-0.816541,	0.411367,	
1.74,	-0.00248875,	1.50115,	-0.816545,	0.406917,	
1.75,	-0.0106541,	1.5052,	-0.816526,	0.402491,	
1.76,	-0.0188192,	1.5092,	-0.816483,	0.39809,	
1.77,	-0.0269837,	1.51316,	-0.816417,	0.393712,	
1.78,	-0.0351475,	1.51707,	-0.816328,	0.389359,	
1.79,	-0.0433102,	1.52095,	-0.816216,	0.385029,	
1.8,	-0.0514717,	1.52477,	-0.816082,	0.380723,	
1.81,	-0.0596318,	1.52856,	-0.815927,	0.376441,	
1.82,	-0.0677901,	1.5323,	-0.81575,	0.372182,	
1.83,	-0.0759467,	1.536,	-0.815551,	0.367948,	
1.84,	-0.0841011,	1.53966,	-0.815332,	0.363736,	
1.85,	-0.0922532,	1.54328,	-0.815093,	0.359548,	
1.86,	-0.100403,	1.54685,	-0.814833,	0.355383,	
1.87,	-0.10855,	1.55038,	-0.814554,	0.351242,	
1.88,	-0.116694,	1.55388,	-0.814255,	0.347123,	
1.89,	-0.124835,	1.55733,	-0.813938,	0.343028,	
1.9,	-0.132972,	1.56074,	-0.813601,	0.338955,	
1.91,	-0.141107,	1.56411,	-0.813246,	0.334906,	
1.92,	-0.149237,	1.56743,	-0.812873,	0.330879,	
1.93,	-0.157364,	1.57072,	-0.812482,	0.326874,	
1.94,	-0.165487,	1.57397,	-0.812073,	0.322893,	
1.95,	-0.173605,	1.57718,	-0.811647,	0.318933,	
1.96,	-0.18172,	1.58035,	-0.811204,	0.314996,	
1.97,	-0.189829,	1.58348,	-0.810744,	0.311081,	
1.98,	-0.197934,	1.58657,	-0.810268,	0.307188,	
1.99,	-0.206035,	1.58962,	-0.809776,	0.303317,	
2,	-0.21413,	1.59264,	-0.809268,	0.299469,	
2.01,	-0.22222,	1.59561,	-0.808744,	0.295641,	
2.02,	-0.230305,	1.59855,	-0.808205,	0.291836,	
2.03,	-0.238384,	1.60145,	-0.807651,	0.288052,	
2.04,	-0.246458,	1.60431,	-0.807082,	0.284289,	
2.05,	-0.254525,	1.60713,	-0.806499,	0.280548,	
2.06,	-0.262587,	1.60992,	-0.805901,	0.276828,	
2.07,	-0.270643,	1.61267,	-0.805289,	0.27313,	
