0,	1,	0.000134164,	-0.0001,	1.34164,	
0.01,	0.99995,	0.0135503,	-0.0100994,	1.34157,	
0.02,	0.999799,	0.0269652,	-0.0200954,	1.34137,	
0.03,	0.999549,	0.0403774,	-0.0300846,	1.34104,	
0.04,	0.999198,	0.0537855,	-0.0400636,	1.34057,	
0.05,	0.998748,	0.0671883,	-0.050029,	1.33996,	
0.06,	0.998199,	0.0805844,	-0.0599774,	1.33923,	
0.07,	0.99755,	0.0939725,	-0.0699057,	1.33836,	
0.08,	0.996802,	0.107351,	-0.0798103,	1.33736,	
0.09,	0.995955,	0.120719,	-0.0896882,	1.33623,	
0.1,	0.995009,	0.134076,	-0.099536,	1.33497,	
0.11,	0.993965,	0.147418,	-0.109351,	1.33358,	
0.12,	0.992823,	0.160747,	-0.119129,	1.33207,	
0.13,	0.991584,	0.17406,	-0.128868,	1.33042,	
0.14,	0.990247,	0.187355,	-0.138564,	1.32866,	
0.15,	0.988814,	0.200632,	-0.148215,	1.32677,	
0.16,	0.987284,	0.21389,	-0.157818,	1.32475,	
0.17,	0.985658,	0.227127,	-0.167369,	1.32262,	
0.18,	0.983938,	0.240342,	-0.176866,	1.32036,	
0.19,	0.982122,	0.253534,	-0.186307,	1.31799,	
0.2,	0.980213,	0.266702,	-0.195688,	1.31551,	
0.21,	0.978209,	0.279844,	-0.205008,	1.31291,	
0.22,	0.976114,	0.29296,	-0.214263,	1.3102,	
0.23,	0.973925,	0.306048,	-0.223451,	1.30737,	
0.24,	0.971646,	0.319108,	-0.23257,	1.30444,	
0.25,	0.969275,	0.332137,	-0.241618,	1.30141,	
0.26,	0.966814,	0.345136,	-0.250593,	1.29827,	
0.27,	0.964264,	0.358103,	-0.259492,	1.29503,	
0.28,	0.961626,	0.371036,	-0.268313,	1.29169,	
0.29,	0.958899,	0.383936,	-0.277055,	1.28826,	
0.3,	0.956086,	0.396802,	-0.285716,	1.28472,	
0.31,	0.953186,	0.409631,	-0.294294,	1.2811,	
0.32,	0.950201,	0.422424,	-0.302788,	1.27739,	
0.33,	0.947131,	0.435179,	-0.311196,	1.27359,	
