0,	1,	0.000141067,	-0.0001,	1.41067,	
0.01,	0.999948,	0.0142476,	-0.0100993,	1.4106,	
0.02,	0.999797,	0.0283526,	-0.0200947,	1.41039,	
0.03,	0.999546,	0.0424549,	-0.0300821,	1.41004,	
0.04,	0.999194,	0.0565529,	-0.0400576,	1.40954,	
0.05,	0.998744,	0.0706452,	-0.0500173,	1.40891,	
0.06,	0.998193,	0.0847305,	-0.0599573,	1.40814,	
0.07,	0.997543,	0.0988074,	-0.0698738,	1.40723,	
0.08,	0.996795,	0.112875,	-0.0797628,	1.40618,	
0.09,	0.995947,	0.12693,	-0.0896206,	1.40499,	
0.1,	0.995001,	0.140974,	-0.0994435,	1.40367,	
0.11,	0.993958,	0.155003,	-0.109228,	1.40222,	
0.12,	0.992816,	0.169017,	-0.11897,	1.40063,	
0.13,	0.991577,	0.183015,	-0.128666,	1.39891,	
0.14,	0.990242,	0.196995,	-0.138314,	1.39706,	
0.15,	0.98881,	0.210956,	-0.147908,	1.39508,	
0.16,	0.987283,	0.224896,	-0.157447,	1.39298,	
0.17,	0.985661,	0.238815,	-0.166927,	1.39075,	
0.18,	0.983944,	0.25271,	-0.176345,	1.3884,	
0.19,	0.982133,	0.266582,	-0.185697,	1.38593,	
0.2,	0.980229,	0.280428,	-0.194982,	1.38335,	
0.21,	0.978233,	0.294248,	-0.204195,	1.38064,	
0.22,	0.976145,	0.308041,	-0.213335,	1.37783,	
0.23,	0.973965,	0.321804,	-0.222399,	1.3749,	
0.24,	0.971696,	0.335538,	-0.231384,	1.37186,	
0.25,	0.969337,	0.349241,	-0.240288,	1.36872,	
0.26,	0.96689,	0.362912,	-0.249108,	1.36548,	
0.27,	0.964354,	0.37655,	-0.257844,	1.36214,	
0.28,	0.961732,	0.390154,	-0.266491,	1.3587,	
0.29,	0.959024,	0.403723,	-0.27505,	1.35516,	
0.3,	0.956231,	0.417256,	-0.283517,	1.35153,	
0.31,	0.953353,	0.430753,	-0.291891,	1.34781,	
0.32,	0.950392,	0.444212,	-0.30017,	1.34401,	
0.33,	0.947349,	0.457632,	-0.308354,	1.34012,	
0.34,	0.944225,	0.471014,	-0.316441,	1.33615,	
0.35,	0.94102,	0.484355,	-0.324429,	1.3321,	
0.36,	0.937736,	0.497655,	-0.332317,	1.32798,	
0.37,	0.934373,	0.510914,	-0.340105,	1.32379,	
0.38,	0.930933,	0.52413,	-0.347791,	1.31952,	
0.39,	0.927417,	0.537304,	-0.355375,	1.31519,	
0.4,	0.923825,	0.550433,	-0.362856,	1.3108,	
0.41,	0.920159,	0.563519,	-0.370233,	1.30634,	
0.42,	0.91642,	0.576559,	-0.377506,	1.30183,	
0.43,	0.912609,	0.589555,	-0.384675,	1.29726,	
0.44,	0.908726,	0.602504,	-0.391739,	1.29263,	
0.45,	0.904774,	0.615407,	-0.398698,	1.28796,	
0.46,	0.900752,	0.628263,	-0.405551,	1.28324,	
0.47,	0.896662,	0.641071,	-0.4123,	1.27847,	
0.48,	0.892506,	0.653831,	-0.418943,	1.27367,	
0.49,	0.888283,	0.666544,	-0.425482,	1.26882,	
0.5,	0.883996,	0.679207,	-0.431915,	1.26394,	
0.51,	0.879645,	0.691822,	-0.438244,	1.25902,	
0.52,	0.875231,	0.704387,	-0.444469,	1.25406,	
0.53,	0.870755,	0.716902,	-0.450589,	1.24908,	
0.54,	0.866219,	0.729368,	-0.456607,	1.24407,	
0.55,	0.861622,	0.741783,	-0.462521,	1.23904,	
0.56,	0.856968,	0.754148,	-0.468334,	1.23398,	
0.57,	0.852256,	0.766462,	-0.474044,	1.2289,	
0.58,	0.847487,	0.778726,	-0.479654,	1.2238,	
0.59,	0.842662,	0.790938,	-0.485163,	1.21868,	
0.6,	0.837783,	0.803099,	-0.490573,	1.21355,	
0.61,	0.832851,	0.815208,	-0.495884,	1.20841,	
0.62,	0.827865,	0.827266,	-0.501097,	1.20325,	
0.63,	0.822828,	0.839273,	-0.506214,	1.19809,	
0.64,	0.817741,	0.851228,	-0.511234,	1.19292,	
0.65,	0.812604,	0.863131,	-0.51616,	1.18774,	
0.66,	0.807418,	0.874982,	-0.520991,	1.18256,	
0.67,	0.802184,	0.886781,	-0.525729,	1.17737,	
0.68,	0.796903,	0.898529,	-0.530376,	1.17218,	
0.69,	0.791576,	0.910224,	-0.534931,	1.167,	
0.7,	0.786204,	0.921868,	-0.539396,	1.16181,	
0.71,	0.780788,	0.93346,	-0.543773,	1.15663,	
0.72,	0.775328,	0.945,	-0.548062,	1.15145,	
0.73,	0.769827,	0.956489,	-0.552264,	1.14628,	
0.74,	0.764283,	0.967925,	-0.556382,	1.14112,	
0.75,	0.758699,	0.979311,	-0.560414,	1.13596,	
0.76,	0.753075,	0.990644,	-0.564364,	1.13082,	
0.77,	0.747411,	1.00193,	-0.568232,	1.12568,	
0.78,	0.74171,	1.01316,	-0.572019,	1.12056,	
0.79,	0.735971,	1.02434,	-0.575726,	1.11545,	
0.8,	0.730195,	1.03547,	-0.579355,	1.11035,	
