0,	1,	0.000134164,	-0.0001,	1.34164,	
0.01,	0.999948,	0.0135503,	-0.0100994,	1.34157,	
0.02,	0.999797,	0.0269652,	-0.0200955,	1.34137,	
0.03,	0.999546,	0.0403773,	-0.0300847,	1.34104,	
0.04,	0.999194,	0.0537854,	-0.0400637,	1.34057,	
0.05,	0.998743,	0.0671881,	-0.0500292,	1.33996,	
0.06,	0.998193,	0.0805841,	-0.0599778,	1.33923,	
0.07,	0.997543,	0.0939721,	-0.0699061,	1.33836,	
0.08,	0.996794,	0.107351,	-0.079811,	1.33736,	
0.09,	0.995946,	0.120719,	-0.089689,	1.33623,	
0.1,	0.994999,	0.134075,	-0.099537,	1.33497,	
0.11,	0.993954,	0.147418,	-0.109352,	1.33358,	
0.12,	0.992811,	0.160746,	-0.11913,	1.33207,	
0.13,	0.991571,	0.174058,	-0.128869,	1.33042,	
0.14,	0.990233,	0.187354,	-0.138566,	1.32866,	
0.15,	0.988799,	0.200631,	-0.148217,	1.32677,	
0.16,	0.987268,	0.213889,	-0.15782,	1.32475,	
0.17,	0.985641,	0.227125,	-0.167372,	1.32262,	
0.18,	0.98392,	0.24034,	-0.176869,	1.32036,	
0.19,	0.982103,	0.253532,	-0.18631,	1.31799,	
0.2,	0.980193,	0.2667,	-0.195692,	1.31551,	
0.21,	0.978189,	0.279842,	-0.205012,	1.31291,	
0.22,	0.976092,	0.292957,	-0.214267,	1.31019,	
0.23,	0.973903,	0.306045,	-0.223456,	1.30737,	
0.24,	0.971622,	0.319104,	-0.232576,	1.30444,	
0.25,	0.96925,	0.332133,	-0.241624,	1.30141,	
0.26,	0.966789,	0.345131,	-0.250599,	1.29827,	
0.27,	0.964238,	0.358098,	-0.259498,	1.29503,	
0.28,	0.961598,	0.371031,	-0.26832,	1.29169,	
0.29,	0.958871,	0.383931,	-0.277063,	1.28825,	
0.3,	0.956056,	0.396796,	-0.285724,	1.28472,	
0.31,	0.953156,	0.409625,	-0.294303,	1.2811,	
0.32,	0.95017,	0.422417,	-0.302797,	1.27739,	
0.33,	0.947099,	0.435172,	-0.311205,	1.27359,	
0.34,	0.943945,	0.447888,	-0.319526,	1.2697,	
0.35,	0.940708,	0.460565,	-0.327758,	1.26573,	
0.36,	0.937389,	0.473202,	-0.3359,	1.26169,	
0.37,	0.93399,	0.485798,	-0.343951,	1.25756,	
0.38,	0.93051,	0.498353,	-0.35191,	1.25336,	
0.39,	0.926951,	0.510865,	-0.359775,	1.24909,	
0.4,	0.923314,	0.523334,	-0.367546,	1.24475,	
0.41,	0.9196,	0.535759,	-0.375223,	1.24034,	
0.42,	0.915809,	0.54814,	-0.382804,	1.23586,	
0.43,	0.911943,	0.560475,	-0.390288,	1.23132,	
0.44,	0.908003,	0.572765,	-0.397676,	1.22672,	
0.45,	0.903989,	0.585009,	-0.404966,	1.22206,	
0.46,	0.899903,	0.597206,	-0.412158,	1.21735,	
0.47,	0.895746,	0.609356,	-0.419253,	1.21258,	
0.48,	0.891518,	0.621457,	-0.426249,	1.20777,	
0.49,	0.88722,	0.63351,	-0.433146,	1.2029,	
0.5,	0.882854,	0.645515,	-0.439945,	1.19799,	
0.51,	0.878421,	0.657469,	-0.446645,	1.19303,	
0.52,	0.873921,	0.669375,	-0.453246,	1.18804,	
0.53,	0.869356,	0.681229,	-0.459748,	1.183,	
0.54,	0.864726,	0.693034,	-0.466152,	1.17792,	
0.55,	0.860032,	0.704787,	-0.472458,	1.17281,	
0.56,	0.855276,	0.71649,	-0.478665,	1.16767,	
0.57,	0.850459,	0.72814,	-0.484774,	1.1625,	
0.58,	0.845581,	0.739739,	-0.490786,	1.1573,	
0.59,	0.840643,	0.751285,	-0.496701,	1.15207,	
0.6,	0.835646,	0.76278,	-0.502519,	1.14681,	
0.61,	0.830592,	0.774221,	-0.508241,	1.14153,	
