0,	1,	0.000141067,	-0.0001,	1.41067,	
0.01,	0.99995,	0.0142476,	-0.0100993,	1.4106,	
0.02,	0.999799,	0.0283527,	-0.0200946,	1.41039,	
0.03,	0.999549,	0.0424549,	-0.030082,	1.41004,	
0.04,	0.999198,	0.056553,	-0.0400575,	1.40954,	
0.05,	0.998749,	0.0706454,	-0.0500171,	1.40891,	
0.06,	0.998199,	0.0847308,	-0.059957,	1.40814,	
0.07,	0.99755,	0.0988078,	-0.0698733,	1.40723,	
0.08,	0.996803,	0.112875,	-0.0797621,	1.40618,	
0.09,	0.995956,	0.126931,	-0.0896198,	1.40499,	
0.1,	0.995011,	0.140974,	-0.0994425,	1.40367,	
0.11,	0.993969,	0.155004,	-0.109227,	1.40222,	
0.12,	0.992828,	0.169018,	-0.118969,	1.40063,	
0.13,	0.99159,	0.183016,	-0.128665,	1.39891,	
0.14,	0.990256,	0.196996,	-0.138312,	1.39706,	
0.15,	0.988825,	0.210957,	-0.147906,	1.39508,	
0.16,	0.987299,	0.224898,	-0.157445,	1.39298,	
0.17,	0.985677,	0.238817,	-0.166924,	1.39075,	
0.18,	0.983962,	0.252713,	-0.176342,	1.3884,	
0.19,	0.982152,	0.266585,	-0.185694,	1.38593,	
0.2,	0.980249,	0.280431,	-0.194978,	1.38335,	
0.21,	0.978253,	0.294251,	-0.204191,	1.38064,	
0.22,	0.976166,	0.308044,	-0.213331,	1.37783,	
0.23,	0.973988,	0.321808,	-0.222394,	1.3749,	
0.24,	0.971719,	0.335542,	-0.231379,	1.37187,	
0.25,	0.969362,	0.349245,	-0.240282,	1.36873,	
0.26,	0.966915,	0.362916,	-0.249102,	1.36548,	
0.27,	0.964381,	0.376555,	-0.257837,	1.36214,	
0.28,	0.961759,	0.390159,	-0.266484,	1.3587,	
0.29,	0.959052,	0.403729,	-0.275042,	1.35516,	
0.3,	0.95626,	0.417263,	-0.283509,	1.35153,	
0.31,	0.953383,	0.43076,	-0.291882,	1.34782,	
0.32,	0.950423,	0.444219,	-0.300162,	1.34401,	
0.33,	0.947381,	0.45764,	-0.308345,	1.34012,	
0.34,	0.944257,	0.471022,	-0.316431,	1.33615,	
0.35,	0.941054,	0.484363,	-0.324418,	1.33211,	
0.36,	0.93777,	0.497664,	-0.332306,	1.32798,	
0.37,	0.934409,	0.510923,	-0.340094,	1.32379,	
0.38,	0.930969,	0.52414,	-0.347779,	1.31953,	
0.39,	0.927454,	0.537314,	-0.355363,	1.3152,	
0.4,	0.923863,	0.550444,	-0.362843,	1.3108,	
0.41,	0.920198,	0.56353,	-0.37022,	1.30635,	
0.42,	0.91646,	0.576571,	-0.377493,	1.30183,	
0.43,	0.912649,	0.589567,	-0.384661,	1.29726,	
0.44,	0.908768,	0.602517,	-0.391724,	1.29264,	
0.45,	0.904816,	0.61542,	-0.398683,	1.28797,	
0.46,	0.900795,	0.628276,	-0.405536,	1.28325,	
0.47,	0.896706,	0.641085,	-0.412284,	1.27848,	
0.48,	0.892551,	0.653846,	-0.418927,	1.27368,	
0.49,	0.888329,	0.666559,	-0.425465,	1.26883,	
0.5,	0.884042,	0.679223,	-0.431898,	1.26395,	
0.51,	0.879692,	0.691838,	-0.438226,	1.25903,	
0.52,	0.875279,	0.704404,	-0.44445,	1.25408,	
