1.02,	0.565321,	1.0782,	-0.723134,	0.787451,	
1.03,	0.558074,	1.08605,	-0.726233,	0.781481,	
1.04,	0.550797,	1.09383,	-0.729266,	0.77552,	
1.05,	0.54349,	1.10156,	-0.732231,	0.769571,	
1.06,	0.536153,	1.10922,	-0.735132,	0.763633,	
1.07,	0.528787,	1.11683,	-0.737967,	0.757708,	
1.08,	0.521394,	1.12438,	-0.740738,	0.751795,	
1.09,	0.513973,	1.13187,	-0.743445,	0.745896,	
1.1,	0.506526,	1.1393,	-0.74609,	0.74001,	
1.11,	0.499052,	1.14667,	-0.748672,	0.73414,	
1.12,	0.491553,	1.15398,	-0.751194,	0.728284,	
1.13,	0.484028,	1.16123,	-0.753655,	0.722444,	
1.14,	0.47648,	1.16843,	-0.756056,	0.716621,	
1.15,	0.468908,	1.17557,	-0.758399,	0.710814,	
1.16,	0.461312,	1.18265,	-0.760683,	0.705024,	
1.17,	0.453694,	1.18967,	-0.76291,	0.699251,	
1.18,	0.446055,	1.19663,	-0.76508,	0.693496,	
1.19,	0.438393,	1.20354,	-0.767194,	0.68776,	
1.2,	0.430711,	1.21039,	-0.769253,	0.682043,	
1.21,	0.423009,	1.21718,	-0.771257,	0.676344,	
1.22,	0.415286,	1.22392,	-0.773208,	0.670665,	
1.23,	0.407545,	1.23059,	-0.775105,	0.665006,	
1.24,	0.399785,	1.23722,	-0.77695,	0.659367,	
1.25,	0.392006,	1.24378,	-0.778743,	0.653748,	
1.26,	0.38421,	1.25029,	-0.780486,	0.648151,	
1.27,	0.376397,	1.25675,	-0.782178,	0.642574,	
1.28,	0.368567,	1.26314,	-0.783821,	0.637019,	
1.29,	0.360721,	1.26949,	-0.785414,	0.631485,	
1.3,	0.352859,	1.27578,	-0.78696,	0.625973,	
1.31,	0.344982,	1.28201,	-0.788458,	0.620483,	
1.32,	0.33709,	1.28819,	-0.789909,	0.615015,	
1.33,	0.329184,	1.29431,	-0.791314,	0.60957,	
1.34,	0.321264,	1.30038,	-0.792674,	0.604148,	
1.35,	0.313331,	1.30639,	-0.793988,	0.598748,	
1.36,	0.305384,	1.31235,	-0.795259,	0.593372,	
1.37,	0.297426,	1.31826,	-0.796486,	0.588019,	
1.38,	0.289455,	1.32411,	-0.79767,	0.582689,	
1.39,	0.281473,	1.32991,	-0.798811,	0.577383,	
1.4,	0.273479,	1.33566,	-0.799911,	0.5721,	
1.41,	0.265475,	1.34136,	-0.80097,	0.566841,	
1.42,	0.25746,	1.347,	-0.801989,	0.561607,	
1.43,	0.249435,	1.35259,	-0.802967,	0.556396,	
1.44,	0.241401,	1.35813,	-0.803907,	0.551209,	
1.45,	0.233357,	1.36361,	-0.804807,	0.546047,	
1.46,	0.225305,	1.36905,	-0.80567,	0.540909,	
1.47,	0.217244,	1.37443,	-0.806495,	0.535795,	
1.48,	0.209175,	1.37977,	-0.807283,	0.530706,	
1.49,	0.201099,	1.38505,	-0.808035,	0.525642,	
1.5,	0.193015,	1.39028,	-0.808751,	0.520602,	
1.51,	0.184924,	1.39546,	-0.809431,	0.515586,	
1.52,	0.176826,	1.40059,	-0.810077,	0.510596,	
1.53,	0.168722,	1.40567,	-0.810689,	0.50563,	
1.54,	0.160613,	1.41071,	-0.811267,	0.500688,	
1.55,	0.152497,	1.41569,	-0.811812,	0.495772,	
1.56,	0.144377,	1.42062,	-0.812324,	0.49088,	
1.57,	0.136251,	1.42551,	-0.812804,	0.486013,	
1.58,	0.128121,	1.43034,	-0.813252,	0.481171,	
1.59,	0.119986,	1.43513,	-0.81367,	0.476354,	
1.6,	0.111847,	1.43987,	-0.814056,	0.471561,	
1.61,	0.103705,	1.44456,	-0.814413,	0.466793,	
1.62,	0.0955592,	1.44921,	-0.814739,	0.46205,	
1.63,	0.0874103,	1.4538,	-0.815037,	0.457332,	
1.64,	0.0792586,	1.45835,	-0.815306,	0.452638,	
1.65,	0.0711043,	1.46286,	-0.815546,	0.447969,	
1.66,	0.0629478,	1.46731,	-0.815759,	0.443325,	
1.67,	0.0547893,	1.47172,	-0.815944,	0.438705,	
1.68,	0.046629,	1.47609,	-0.816102,	0.43411,	
1.69,	0.0384673,	1.48041,	-0.816234,	0.42954,	
1.7,	0.0303044,	1.48468,	-0.81634,	0.424993,	
1.71,	0.0221406,	1.48891,	-0.81642,	0.420472,	
1.72,	0.0139761,	1.49309,	-0.816474,	0.415974,	
1.73,	0.00581124,	1.49723,	-0.816504,	0.411501,	
1.74,	-0.00235385,	1.50132,	-0.816509,	0.407052,	
1.75,	-0.0105189,	1.50537,	-0.81649,	0.402628,	
1.76,	-0.0186836,	1.50937,	-0.816448,	0.398227,	
1.77,	-0.0268477,	1.51333,	-0.816382,	0.393851,	
1.78,	-0.0350111,	1.51725,	-0.816293,	0.389498,	
1.79,	-0.0431736,	1.52112,	-0.816182,	0.385169,	
1.8,	-0.0513347,	1.52495,	-0.816049,	0.380864,	
1.81,	-0.0594945,	1.52874,	-0.815893,	0.376583,	
1.82,	-0.0676525,	1.53249,	-0.815717,	0.372326,	
1.83,	-0.0758087,	1.53619,	-0.815519,	0.368092,	
1.84,	-0.0839629,	1.53985,	-0.8153,	0.363881,	
1.85,	-0.0921147,	1.54347,	-0.815061,	0.359694,	
1.86,	-0.100264,	1.54704,	-0.814802,	0.355531,	
1.87,	-0.108411,	1.55058,	-0.814523,	0.35139,	
1.88,	-0.116554,	1.55407,	-0.814225,	0.347272,	
1.89,	-0.124695,	1.55752,	-0.813908,	0.343178,	
1.9,	-0.132833,	1.56094,	-0.813572,	0.339106,	
1.91,	-0.140967,	1.56431,	-0.813217,	0.335058,	
1.92,	-0.149097,	1.56764,	-0.812844,	0.331032,	
1.93,	-0.157223,	1.57093,	-0.812454,	0.327028,	
1.94,	-0.165346,	1.57418,	-0.812046,	0.323047,	
1.95,	-0.173464,	1.57739,	-0.81162,	0.319089,	
1.96,	-0.181578,	1.58056,	-0.811178,	0.315153,	
1.97,	-0.189688,	1.58369,	-0.810719,	0.311239,	
1.98,	-0.197793,	1.58679,	-0.810243,	0.307347,	
1.99,	-0.205893,	1.58984,	-0.809751,	0.303477,	
2,	-0.213988,	1.59286,	-0.809244,	0.299629,	
2.01,	-0.222078,	1.59583,	-0.808721,	0.295802,	
2.02,	-0.230162,	1.59877,	-0.808182,	0.291998,	
2.03,	-0.238241,	1.60167,	-0.807629,	0.288215,	
2.04,	-0.246315,	1.60454,	-0.80706,	0.284453,	
2.05,	-0.254382,	1.60736,	-0.806477,	0.280713,	
2.06,	-0.262444,	1.61015,	-0.80588,	0.276994,	
2.07,	-0.2705,	1.6129,	-0.805269,	0.273296,	
2.08,	-0.27855,	1.61562,	-0.804643,	0.269619,	
2.09,	-0.286593,	1.6183,	-0.804005,	0.265963,	
2.1,	-0.29463,	1.62094,	-0.803352,	0.262327,	
2.11,	-0.30266,	1.62354,	-0.802687,	0.258713,	
2.12,	-0.310684,	1.62611,	-0.802009,	0.255119,	
2.13,	-0.3187,	1.62865,	-0.801318,	0.251545,	
